X	Y	Long	Lat	Z
-40000.00	-70000.00	-45.4500	-16.6500	31.347
-40000.00	-65000.00	-45.4500	-16.6333	35.455
-40000.00	-60000.00	-45.4500	-16.6167	40.030
-40000.00	-55000.00	-45.4500	-16.6000	45.046
-40000.00	-50000.00	-45.4500	-16.5833	50.426
-40000.00	-45000.00	-45.4500	-16.5667	56.016
-40000.00	-40000.00	-45.4500	-16.5500	61.568
-40000.00	-35000.00	-45.4500	-16.5333	66.719
-40000.00	-30000.00	-45.4500	-16.5167	70.993
-40000.00	-25000.00	-45.4500	-16.5000	73.841
-40000.00	-20000.00	-45.4333	-18.2500	74.721
-40000.00	-15000.00	-45.4333	-18.2333	73.231
-40000.00	-10000.00	-45.4333	-18.2167	69.255
-40000.00	-5000.00	-45.4333	-18.2000	63.061
-40000.00	0.00	-45.4333	-18.1833	55.298
-40000.00	5000.00	-45.4333	-18.1667	46.855
-40000.00	10000.00	-45.4333	-18.1500	38.632
-40000.00	15000.00	-45.4333	-18.1333	31.329
-40000.00	20000.00	-45.4333	-18.1167	25.326
-40000.00	25000.00	-45.4333	-18.1000	20.696
-40000.00	30000.00	-45.4333	-18.0833	17.289
-40000.00	35000.00	-45.4333	-18.0667	14.851
-40000.00	40000.00	-45.4333	-18.0500	13.115
-40000.00	45000.00	-45.4333	-18.0333	11.850
-40000.00	50000.00	-45.4333	-18.0167	10.884
-40000.00	55000.00	-45.4333	-18.0000	10.099
-40000.00	60000.00	-45.4333	-17.9833	9.421
-40000.00	65000.00	-45.4333	-17.9667	8.807
-40000.00	70000.00	-45.4333	-17.9500	8.234
-40000.00	75000.00	-45.4333	-17.9333	7.692
-40000.00	80000.00	-45.4333	-17.9167	7.177
-40000.00	85000.00	-45.4333	-17.9000	6.687
-40000.00	90000.00	-45.4333	-17.8833	6.224
-40000.00	95000.00	-45.4333	-17.8667	5.787
-40000.00	100000.00	-45.4333	-17.8500	5.377
-40000.00	105000.00	-45.4333	-17.8333	4.994
-40000.00	110000.00	-45.4333	-17.8167	4.638
-40000.00	115000.00	-45.4333	-17.8000	4.307
-40000.00	120000.00	-45.4333	-17.7833	4.001
-40000.00	125000.00	-45.4333	-17.7667	3.719
-40000.00	130000.00	-45.4333	-17.7500	3.458
-40000.00	135000.00	-45.4333	-17.7333	3.218
-40000.00	140000.00	-45.4333	-17.7167	2.996
-40000.00	145000.00	-45.4333	-17.7000	2.792
-40000.00	150000.00	-45.4333	-17.6833	2.605
-35000.00	-100000.00	-45.4333	-17.6667	15.612
-35000.00	-95000.00	-45.4333	-17.6500	17.650
-35000.00	-90000.00	-45.4333	-17.6333	20.012
-35000.00	-85000.00	-45.4333	-17.6167	22.754
-35000.00	-80000.00	-45.4333	-17.6000	25.937
